imagelink,title
"https://images-eu.ssl-images-amazon.com/images/I/81CMUXKvxNL._AC_UL302_SR302,200_.jpg",Casa de cielo y aliento (Ciudad Medialuna 2)
"https://images-eu.ssl-images-amazon.com/images/I/71U6m53qBpL._AC_UL302_SR302,200_.jpg",Mermaid Melody Pichi Pichi Pitch 01
"https://images-eu.ssl-images-amazon.com/images/I/81lXJZl0V8L._AC_UL302_SR302,200_.jpg",Fulgor (Serie Crave 4) (Planeta Internacional)
"https://images-eu.ssl-images-amazon.com/images/I/8137pZXGy+L._AC_UL302_SR302,200_.jpg",Por si las voces vuelven (No Ficción)
"https://images-eu.ssl-images-amazon.com/images/I/812jpl0ydVL._AC_UL302_SR302,200_.jpg",Cuentos afilados en noches extrañas y otras puñaladas ((Fuera de colección))
"https://images-eu.ssl-images-amazon.com/images/I/712cARV+H7S._AC_UL302_SR302,200_.jpg",Encuentra tu persona vitamina (F. COLECCION)
"https://images-eu.ssl-images-amazon.com/images/I/81yZvh71EML._AC_UL302_SR302,200_.jpg","Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida (Fuera de colección)"
"https://images-eu.ssl-images-amazon.com/images/I/81vO-0SZ02L._AC_UL302_SR302,200_.jpg",Cocina keto: 100 recetas tradicionales adaptadas a la dieta cetogénica (Alimentación saludable)
"https://images-eu.ssl-images-amazon.com/images/I/61gg04-YLlL._AC_UL302_SR302,200_.jpg","¿Por qué me duele la tripa?: Reparación digestiva, microbiota, adelgazamiento y salud (No Ficción)"
"https://images-eu.ssl-images-amazon.com/images/I/919hB5aS4AL._AC_UL302_SR302,200_.jpg","Los trucos de los ricos 2ª parte: 92 trucos para comprar inmuebles, crear tu propio patrimonio y vivir de las rentas (Deusto)"
"https://images-eu.ssl-images-amazon.com/images/I/71AYntUE8mL._AC_UL302_SR302,200_.jpg","Me quiero, te quiero: Una guía para desarrollar relaciones sanas (y mejorar las que ya tienes) (Bruguera Tendencias)"
"https://images-eu.ssl-images-amazon.com/images/I/81PFtvKlQTL._AC_UL302_SR302,200_.jpg",El Libro Negro de las Horas (Autores Españoles e Iberoamericanos)
"https://images-eu.ssl-images-amazon.com/images/I/81vNINk2zRL._AC_UL302_SR302,200_.jpg",La cuenta atrás para el verano: La vida son recuerdos y los míos tienen nombres de persona (Novela)
"https://images-eu.ssl-images-amazon.com/images/I/71FxTs7+B1L._AC_UL302_SR302,200_.jpg",Invisible (Nube de Tinta)
"https://images-eu.ssl-images-amazon.com/images/I/71OzOdID0-L._AC_UL302_SR302,200_.jpg",Antes de diciembre (Wattpad)
"https://images-eu.ssl-images-amazon.com/images/I/81TCtCk4UdL._AC_UL302_SR302,200_.jpg","Las guerreras Maxwell, 7. Atrévete a retarme (Medieval / Highlander)"
"https://images-eu.ssl-images-amazon.com/images/I/913iZ6rh2oL._AC_UL302_SR302,200_.jpg",Las aventuras de Dani y Evan 5. El tesoro del T-Rex dorado (Jóvenes influencers)
"https://images-eu.ssl-images-amazon.com/images/I/818VNbq81ZL._AC_UL302_SR302,200_.jpg",Boulevard (Libro 1): Edición revisada por la autora (Wattpad)
"https://images-eu.ssl-images-amazon.com/images/I/71hHAjSYR3L._AC_UL302_SR302,200_.jpg",El poder del ahora: una guía para la iluminación espiritual (Perenne)
"https://images-eu.ssl-images-amazon.com/images/I/71kVlpyzn-L._AC_UL302_SR302,200_.jpg","La guía definitiva de caligrafía moderna y lettering a mano para principiantes: Aprende a dibujar letras: un cuaderno de actividades que incluye consejos, técnicas, páginas para practicar y proyectos"
"https://images-eu.ssl-images-amazon.com/images/I/81yvcCjauaL._AC_UL302_SR302,200_.jpg",A través de mi ventana (Trilogía Hermanos Hidalgo 1)
"https://images-eu.ssl-images-amazon.com/images/I/81-j6E3V2WL._AC_UL302_SR302,200_.jpg",El cerebro del niño explicado a los padres (Plataforma Actual)
"https://images-eu.ssl-images-amazon.com/images/I/81cHVQqafZL._AC_UL302_SR302,200_.jpg","El gran libro de Lucía, mi pediatra: La guía más completa y actualizada sobre la salud de tu hijo desde el nacimiento a la adolescencia (No Ficción)"
"https://images-eu.ssl-images-amazon.com/images/I/910Pz83E9bL._AC_UL302_SR302,200_.jpg",Pokémon Súper Extra Delux Guía esencial definitiva
"https://images-eu.ssl-images-amazon.com/images/I/716GaLQav8S._AC_UL302_SR302,200_.jpg",Violeta: 1001 (Éxitos)
"https://images-eu.ssl-images-amazon.com/images/I/8177GEknlFL._AC_UL302_SR302,200_.jpg",Aprender a leer en la Escuela de Monstruos 1 - La mascota más grandota: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años)
